"Seller Group","Supplier","Date","Reference","Customer code","Customer name","Physical_Address1","Physical_Address2","Physical_Address3","Physical_Address4","Deliver1","Deliver2","Deliver3","Deliver4","Telephone","Product code","Product description","Quantity","Value","Rep"
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI001","Switch Original 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI002","Switch Energy Element 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI003","Switch Energy Envy 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI007","Switch Cranberry/Cherry 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI013","Switch Org B/gum 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI019","Switch Mango Peach 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI022","Switch Jelly Babies 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI023","Switch Dry Lemon 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI033","Switch Kiwi/Mango/Straw 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI039","Switch Tropical 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI040","Biogen Goji Berry/Blood Orange 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI041","Biogen Redcurrant/Blueberry  24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI047","Switch Pink Lemonade 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI049","Switch S/Free G/Dilla & Gooseberry 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI050","Switch Cream Soda Float 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI052","Switch Vita C Matcha Green Tea & Lemon 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI056","Switch Pineapple Mango & Cherry 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI057","Switch Watermelon/Straw & Pear 24x500ml",1,176.09,3
"Shell","Energy Drinks",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","SWI058","Switch Prickly Pear 24x500ml",1,176.09,3
"Shell","Take 5 Juice",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","TA150","Take 5 Orange 100% 6x1.5lt",1,243.83,3
"Shell","Take 5 Juice",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","TA156","Take 5  Cranberry 100% 6x1.5lt",1,243.83,3
"Shell","Take 5 Juice",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","TA504","Take 5 Apple  100% 10x500ml",1,174.48,3
"Shell","Waterberg",23/07/2025,"IN-422478","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","W006","W/B Still  1x10lt",20,582.61,3
"Sasol","Sweets",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","B1955","Jungle Energy Bar Yoghurt 30's",1,270,3
"Sasol","Diplomat",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","C16770","Chappies Watermelon 100's",2,80,3
"Sasol","Diplomat",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","C16774","Chappies Grape 100's",1,40,3
"Sasol","Diplomat",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","C672215","Stimorol Infinity Mint 1x12",4,810.44,3
"Sasol","Diplomat",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","C678176","Stimorol Infinity Trop 1x12",1,202.61,3
"Sasol","Diplomat",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","C680588","Stimorol Infinity Berry Party 1x12",1,202.61,3
"Sasol","Vapes",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","EXBL900","E-Xhale Blueberry Lemon 5% 900 Puff",1,696,3
"Sasol","Vapes",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","EXGI900","E-Xhale Guarana Ice 5% 900 Puff",1,696,3
"Sasol","Vapes",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","EXKP900","E-Xhale Kiwi Mango P/Apple 0% 900 Puff",1,696,3
"Sasol","Vapes",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","EXPC900","E-Xhale Pina Colada 5% 900 Puff",1,696,3
"Sasol","Vapes",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","EXSW900","E-Xhale Straw/Watermelon 5% 900 Puff",1,696,3
"Sasol","Biltong",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","ZT200","Taki S/P Stokkies 20X40G",1,545.70,3
"Sasol","Biltong",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","ZT205","Taki Dry Wors 20x60g",1,545.70,3
"Sasol","Biltong",23/07/2025,"IN-422479","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","ZT206","Taki S/P Beef Strips  20X40G",1,545.70,3
"Shell","Sweets",23/07/2025,"IN-422480","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","B012863","Maynards Mini Teddies Disp. 24x60g NEW",1,228.52,3
"Shell","Sweets",23/07/2025,"IN-422480","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","B012866","Maynards Mini Babies Disp. 24x60g NEW",1,228.52,3
"Shell","Sweets",23/07/2025,"IN-422480","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","B012872","Maynards Jelly Jerseys 24x60G NEW",1,228.52,3
"Shell","Sweets",23/07/2025,"IN-422480","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","B012873","Maynards Soft Fruity Gums 24x60g NEW",1,228.52,3
"Shell","Sweets",23/07/2025,"IN-422480","P2249","TABOO TRADING PTY LTD t/aTHE FARMYARD","FILLING STATION (14 D - I)","P.O Box  251","Ladanna,Polokwane","0704","1 School Road, Bendor","Next to Mall of the North","Polokwane","0699","015 296 1315","B3370","Mallow Whippy Vanilla 24x41gr",1,160.47,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","AIR201","Wrigley Gum Airwave  Menth/Eucyl 30",1,295.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","AIR203","Wrigley Gum Airwave  Blackcurrent 30",1,295.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","AIR205","Wrigley Gum Airwave  Cherry Menthol 30",1,295.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","AIR206","Wrigley Gum Airwaves Black Mint 30",1,295.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","AIR207","Wrigley Gum Airwaves Lime&Ginger 30",1,295.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","ORB172","Wrigley OTC Orbit Bubblemint 30",1,256.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","ORB173","Wrigley OTC Orbit Peppermint 30",1,256.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","ORB174","Wrigley OTC Orbit Spearmint 30",1,256.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","ORB175","Wrigley OTC Orbit Watermelon 30",1,256.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","ORB176","Wrigley OTC Orbit Prof White 30",1,256.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","ORB177","Wrigley OTC Orbit Prof Strong Mint 30",1,256.20,3
"Sasol","SG - Wrigley's",23/07/2025,"IN-422481","P1827","SASOL PENINA PARK (3%)(7 D - I)**","P. O. Box 3270","Polokwane","0700","","43 Timbavati Street","Penina Park","Polokwane","0699","015 295 3610","ORB179","Wrigley OTC Orbit Strawberry 30",1,256.20,3
"ALL Other","Sweets",23/07/2025,"IN-422482","P026","QADC MHANZA (7D C)","40 Limpopo Street","Shop 4 & 5","Peninapark","Polokwane","40 Limpopo Street/Shop 4 en 5","Penina Park","Polokwane","0699","072 886 0064","B012866","Maynards Mini Babies Disp. 24x60g NEW",1,258.13,3
"ALL Other","Sweets",23/07/2025,"IN-422482","P026","QADC MHANZA (7D C)","40 Limpopo Street","Shop 4 & 5","Peninapark","Polokwane","40 Limpopo Street/Shop 4 en 5","Penina Park","Polokwane","0699","072 886 0064","B2148","Maynards Orig W/Gums Roll 36 x 39g",1,286.13,3
"Sasol","Waterberg",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","GO-WB5","W/Berg Still 1x5lt each",12,182.61,3
"Sasol","Mageu",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","MA004","Mageu  Mabele  10x500ml",1,103.36,3
"Sasol","The Beverage Co",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","P5500107","Super C Can Apple 6x4x500ml",1,155.17,3
"Sasol","The Beverage Co",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","P660185","Super C Org Sparkling Glucose 6x4x500ml",2,310.34,3
"Sasol","The Beverage Co",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","P861302","Pepsi Max Pet 12x500ml",2,176.64,3
"Sasol","Aquelle",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","QU201","aQuelle Still 6x500ml",10,326,3
"Sasol","Aquelle",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","QU202","aQuelle Sparkling 6x500ml",5,163,3
"Sasol","Aquelle",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","QU301","aQuelle Still 6x750ml",10,504,3
"Sasol","Aquelle",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","QU401","aQuelle Still 6x1.5lt",8,436.80,3
"Sasol","Aquelle",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","QU402","aQuelle Sparkling 6x1.5lt",5,273,3
"Sasol","Aquelle",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","QU501","aQuelle Still 4x5lt",3,250.50,3
"Sasol","Dairy Products",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","SQ201","SQ D/Thick 12x300ml Chocolate",1,134.78,3
"Sasol","Energy Drinks",23/07/2025,"IN-422483","P406","ALGASPEX (PTY)LTD 7D t/a SASOL BOAB","P.O.BOX 4025","POLOKWANE","","","3 ALOE VERS STREET (OFF MUNNIK AVE)","POLOKWANE","","","082 202 4666","SWI017","Switch Vit C Orange  24x500ml",1,176.09,3
"ALL Other","Snack a Juice",23/07/2025,"IN-422484","P471","KING PIE GAME CENTRE PLK (21 D - I)","Henbase 2140 cc t/a King Pie","Game Centre Polokwane","Reg No.: 1996/030971/23","P.O. Box 50, Fauna Park PLK","Game Centre, Unit 5B","Cnr Market & Hospital Street","Polokwane","0699","063 387 8664","SJ202","Snack a Juice C/Tail S/C 100% 24x500ml",1,309.53,1
"ALL Other","Snack a Juice",23/07/2025,"IN-422484","P471","KING PIE GAME CENTRE PLK (21 D - I)","Henbase 2140 cc t/a King Pie","Game Centre Polokwane","Reg No.: 1996/030971/23","P.O. Box 50, Fauna Park PLK","Game Centre, Unit 5B","Cnr Market & Hospital Street","Polokwane","0699","063 387 8664","SJ205","Snack a Juice Guava S/C 20% 24x500ml",1,309.53,1
"ALL Other","Snack a Juice",23/07/2025,"IN-422484","P471","KING PIE GAME CENTRE PLK (21 D - I)","Henbase 2140 cc t/a King Pie","Game Centre Polokwane","Reg No.: 1996/030971/23","P.O. Box 50, Fauna Park PLK","Game Centre, Unit 5B","Cnr Market & Hospital Street","Polokwane","0699","063 387 8664","SJ206","Snack a Juice Litchi S/C 100% 24x500ml",1,309.53,1
"ALL Other","Snack a Juice",23/07/2025,"IN-422484","P471","KING PIE GAME CENTRE PLK (21 D - I)","Henbase 2140 cc t/a King Pie","Game Centre Polokwane","Reg No.: 1996/030971/23","P.O. Box 50, Fauna Park PLK","Game Centre, Unit 5B","Cnr Market & Hospital Street","Polokwane","0699","063 387 8664","SJ208","Snack a Juice Cranb S/C 100% 24x500ml",1,309.53,1
"ALL Other","Snack a Juice",23/07/2025,"IN-422484","P471","KING PIE GAME CENTRE PLK (21 D - I)","Henbase 2140 cc t/a King Pie","Game Centre Polokwane","Reg No.: 1996/030971/23","P.O. Box 50, Fauna Park PLK","Game Centre, Unit 5B","Cnr Market & Hospital Street","Polokwane","0699","063 387 8664","SJ209","Snack a Juice Breakfast Punch 100% 24x500ml",1,309.53,1
"ALL Other","Energy Drinks",23/07/2025,"IN-422484","P471","KING PIE GAME CENTRE PLK (21 D - I)","Henbase 2140 cc t/a King Pie","Game Centre Polokwane","Reg No.: 1996/030971/23","P.O. Box 50, Fauna Park PLK","Game Centre, Unit 5B","Cnr Market & Hospital Street","Polokwane","0699","063 387 8664","SWI017","Switch Vit C Orange  24x500ml",1,176.09,1
"ALL Other","Vapes",23/07/2025,"IN-422485","P3720","GIGIS  MINIMARK PTY( LTD (3 DAYS EFT)","P.O.BOX 110","VAALWATER","","","GEDEELTE 24 PLAAS BOEKENHOUTKLOOF RR187","ALMA DISTRIK RR33","WATERBERG","ALMA","014 161 0757","TROB100","Tropic Bar 10 000 Puff Energy",2,4337.60,11
"ALL Other","Sweets",23/07/2025,"IN-422486","P2303","MORIAH FOOD PRODUCTS (3 DAY EFT)","P.O. Box 55","Hoedspruit","","1380","Farm Moriah Hoedspruit","","Hoedspruit","1380","087 806 2099 Karin","C8004308","Cadbury 5 Star 32x48.5g",1,372.66,42
"ALL Other","Nestle",23/07/2025,"IN-422486","P2303","MORIAH FOOD PRODUCTS (3 DAY EFT)","P.O. Box 55","Hoedspruit","","1380","Farm Moriah Hoedspruit","","Hoedspruit","1380","087 806 2099 Karin","NES001PC","Nestle CRISP Peppermint 40x49g",1,500,42
"ALL Other","Take 5 Juice",23/07/2025,"IN-422487","P707","INTERNATIONAL TRAVEL SHOP (PTY) LTD(30DC","P O Box 1212","","Messina","0900","Itsa Border Shops,Duty Free Shops","Beitbridge","Musina","","015 530 0271/2/adele","TA210","Take 5 Drinking Yog Choc Mousse Tai 10x300gm",2,248.20,16
"ALL Other","Take 5 Juice",23/07/2025,"IN-422487","P707","INTERNATIONAL TRAVEL SHOP (PTY) LTD(30DC","P O Box 1212","","Messina","0900","Itsa Border Shops,Duty Free Shops","Beitbridge","Musina","","015 530 0271/2/adele","TA212","Take 5 Drinking Yogh Straw Crm10x300gm",5,620.50,16
"Spar","Energy Drinks",23/07/2025,"IN-422488","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SWI001","Switch Original 24x500ml",1,189.57,17
"Spar","Energy Drinks",23/07/2025,"IN-422488","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SWI002","Switch Energy Element 24x500ml",2,379.14,17
"Spar","Energy Drinks",23/07/2025,"IN-422488","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SWI012","Switch G/Fruit Naartjie VIT C 24x500ml",2,379.14,17
"Spar","Energy Drinks",23/07/2025,"IN-422488","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SWI017","Switch Vit C Orange  24x500ml",2,379.14,17
"Spar","Energy Drinks",23/07/2025,"IN-422488","P1647","SPAR LOWVELD GROUP (602086)(30 DS - I)","P.O. Box 33","Nelspruit","1200","","","","","","013 231 8156","SWI040","Biogen Goji Berry/Blood Orange 24x500ml",1,189.57,17
"Engen","Bromor Foods",23/07/2025,"IN-422489","P3400","ENGEN BURGERSFORT (I)","P.O. Box 1474","Mulbarton","","2059","2484 Dirk Winterbak Str ext 13","Next to OK mini Market","Burgersfort","1150","013 231 7692","BR018","Oros  Mango  24X300ML",1,163.24,17
"Engen","Energy Drinks",23/07/2025,"IN-422489","P3400","ENGEN BURGERSFORT (I)","P.O. Box 1474","Mulbarton","","2059","2484 Dirk Winterbak Str ext 13","Next to OK mini Market","Burgersfort","1150","013 231 7692","SWI001","Switch Original 24x500ml",3,528.26,17
"Engen","Energy Drinks",23/07/2025,"IN-422489","P3400","ENGEN BURGERSFORT (I)","P.O. Box 1474","Mulbarton","","2059","2484 Dirk Winterbak Str ext 13","Next to OK mini Market","Burgersfort","1150","013 231 7692","SWI007","Switch Cranberry/Cherry 24x500ml",2,352.17,17
